question,option1,option2,option3,option4,answer,category,photoLink,,,,,,
Which two drinks is mixed to make Yuenyeung (鴛鴦)?,"Coffee, Milktea","Chocolate, Milktea","Soy milk, Coffee","Cola-Cola, Sprite",Option 1,Food,,,,,,,
Which of the following is not Hong Kong unique street food?,Curry fishballs,Bubble milk tea,Stinky tofu,Egg waffle,Option 2,Food,,,,,,,
How many michelin starred restaurants are in Hong Kong?,213,214,215,216,Option 3,Food,,,,,,,
Which of the following is not dim sum?,Siu Mai(pork and mushroom dumpling),Har Gow(shrimp dumplings),Traditional Steamed Sponge Cake,Put chai ko,Option 4,Food,,,,,,,
Which of the following is not chinese new year snack?,Good Luck Candy,Gold Chocolate Coins,Stick candy,Candied lotus seeds,Option 3,Food,,,,,,,
Which food is commonly ate in Mid-autumn festival?,BBQ pork bun,Mooncake,Pineapple Bun,Turnip cake,Option 1,Food,,,,,,,
Which congee do not exist in Hong Kong?,Minced Beef Congee,Preserved Egg and Lean Pork Congee,Pig Blood Curd Congee,Dumpling Congee,Option 4,Food,,,,,,,
What is/are the common dessert in Hong Kong?,Tong yuen,Tofu pudding,Milk pudding,All of Above,Option 4,Food,,,,,,,
What is/are the common dessert soup in Hong Kong?,Black sesame sweet soup,Sweet red bean soup,Beancurd sheet sweet soup,All of Above,Option 4,Food,,,,,,,
Which is the common condiment in Hong Kong?,Mayonnaise,Soy sauce,Yellow mustard,Wasabi,Option 1,Food,,,,,,,
Which of the following is not common herbal tea in Hong Kong?,Five flower tea,24 herbs,Common selfheal herb,Puer tea,Option 4,Food,,,,,,,
Where is the famous place for eating Typhoon Shelter Crab?,Wan Chai,Causeway Bay,Tin Hau,Shuang Wan,Option 1,Food,,,,,,,
Hong Kong used to have how many food truck?,16,11,13,14,Option 2,Food,,,,,,,
Which food are not sold by hawker in Hong Kong?,steamed sweet potato,Roasted chestnuts,steamed siu,steam quail egg,Option 3,Food,,,,,,,
Which are not the unique food in Cha-chaan tan?,Roasted Duck,Satay Beef noodles,Scrambled egg sandwiches,Hong-Kong style French toasts,Option 2,Food,,,,,,,
Which tea are not occur in chinese restaurant?,Iron GuanYin,Puer Tea,Long jing tea,Green Tea,Option 4,Food,,,,,,,
What is the food in the photo?,Siu Mai,Har Gow,Char Siu Bao,Cheung Fun,Option 1,Food,https://firebasestorage.googleapis.com/v0/b/comp4521-9d8e1.appspot.com/o/QuestionImages%2Fsiumaiphoto.png?alt=media&token=f8a28d6e-f586-4c09-b4d7-00ba166c755e,,,,,,
What is the food in the photo?,Instant noodle with luncheon meat,Rice vermicelli with shredded pork and preserved vegetables,Satay Beef Noodle,Macaroni soup and ham,Option 3,Food,https://firebasestorage.googleapis.com/v0/b/comp4521-9d8e1.appspot.com/o/QuestionImages%2Fhongkongbeefsatay.jpeg?alt=media&token=b80d8f54-4664-45c1-846b-3de47d248ff5 ,,,,,,
What is the drink in the photo?,Hot chocolate,Milk tea,YuenYeung,Coffee,Option 2,Food,https://firebasestorage.googleapis.com/v0/b/comp4521-9d8e1.appspot.com/o/QuestionImages%2Fimage.jpeg?alt=media&token=be8fda08-6f78-4c25-a1bb-718dafd49522,,,,,,
How many days is the statutory holidays in Hong Kong?,11,12,13,14,Option 3,Festival,,,,,,,
Which day is the Hong Kong Special Administrative Region Establishment Day?,1/7,1/10,1/1,1/5,Option 1,Festival,,,,,,,
Which of the following object do not related to Chinese new year?,Red pocket,Fai chun,Chinese candy box,Zongzi,Option 4,Festival,,,,,,,
What is the object in the image?,Feng shui compass,Fai chun,Tong sing,Red pocket,Option 2,Festival,https://firebasestorage.googleapis.com/v0/b/comp4521-9d8e1.appspot.com/o/QuestionImages%2Ffaichun.jpeg?alt=media&token=185740a5-6c76-4374-b1ed-9e8c6209ce38,,,,,,
Which of the following festival is according to lunar calendar?,Mid-Autumn Festival,Labour Day,Easter Monday,Good Friday,Option 1,Festival,,,,,,,
What is the unique activites at cheung chau bun festival?,Bun snatching,Hiking,New Year Greetings,Gift exchange,Option 1,Festival,,,,,,,
Which of the activities is not common in Ghost Festival?,Preparing ritualistic food offerings,Burning incense,Visiting spirits of the ancestors,Hiking,Option 4,Festival,,,,,,,
Where is not the common place for having dragon boat Competition at Dragon Boat Festival?,Victoria Habour,Tuen Mun,Stanley,Sha Tin,Option 1,Festival,,,,,,,
How many day in Chinese new year count as statutory holidays ?,1,2,3,4,Option 3,Festival,,,,,,,
Which of the following festival does not have firework displays?,Chinese new year,National Day,Mid-autumn festival,New Year's Day,Option 3,Festival,,,,,,,
Which of the following activity is not common in mid-autumn festival?,Eat mooncake,Play lantern,Watch the full Moon,Visiting spirits of the ancestors,Option 4,Festival,,,,,,,
What is the festival that people will do the activity in the image?,Mid-autumn festival,Dragon boat festival,Cheung chau bun festival,Labour Day,Option 2,Festival,https://firebasestorage.googleapis.com/v0/b/comp4521-9d8e1.appspot.com/o/QuestionImages%2Fdragonboatfestival.jpeg?alt=media&token=b2bf23a4-b561-4c18-8124-5ae5f52fd399,,,,,,
At which chinese solar term have a tradition to gather and eat dinner with famil?,Start of Summer,Winter Solstice,Vernal Equinox,Start of Autumn,Option 2,Festival,,,,,,,
Which of the following festival is originated from chinese culture?,Lunar New Year,Chung Yeung Festival,Ching Ming Festival,Christmas Day,Option 4,Festival,,,,,,,
Which of the following place exist in HK?,Fu Wong Chau (虎王洲),Kau Pei Hill (狗髀山),Wu Ying Chau (烏蠅洲),Crocodile Pai (鱷魚排),Option 1,Geography,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
